city,location,Status,latitude,longitude
Delhi,Sector 22 Dwarka,Semi-Furnished,28.5594101,77.0626297
Delhi,Rajouri Garden,Semi-Furnished,28.64461899,77.12057495
Delhi,Subhash Nagar,Furnished,28.63582993,77.11094666
Delhi,Rajouri Garden,Furnished,28.64171982,77.12236786
Delhi,Tagore Garden Extension,Furnished,28.65271759,77.1146698
Delhi,Ashok Nagar,Furnished,28.63737679,77.10144043
Delhi,Ashok Nagar,Semi-Furnished,28.63794327,77.10457611
Delhi,Subhash Nagar,Semi-Furnished,28.6381588,77.11428833
Delhi,Rajouri Garden,Semi-Furnished,28.64828873,77.12319946
Delhi,Sector 12 Dwarka,Semi-Furnished,28.5995636,77.04376221
Delhi,Ashok Nagar,Furnished,28.63871956,77.10284424
Delhi,Rajouri Garden,Furnished,28.64162445,77.1173172
Delhi,Tagore Garden Extension,Semi-Furnished,28.64483261,77.11074829
Delhi,Subhash Nagar,Unfurnished,28.63766098,77.11206818
Delhi,Greater Kailash,Furnished,28.5457592,77.24568176
Delhi,Chattarpur,Semi-Furnished,28.5027256,77.18435669
Delhi,Chattarpur,Semi-Furnished,28.49385643,77.18325043
Delhi,Greater kailash 1,Semi-Furnished,28.5574131,77.23429108
Delhi,Chattarpur,Semi-Furnished,28.50004768,77.18939972
Delhi,Chattarpur,Semi-Furnished,28.49941444,77.18951416
Delhi,Chattarpur,Unfurnished,28.49385643,77.18325043
Delhi,Chattarpur,Furnished,28.49385643,77.18325043
Delhi,Sector 13 Dwarka,Semi-Furnished,28.59945869,77.03492737
Delhi,Sector 7 Dwarka,Semi-Furnished,28.58768654,77.06594086
Delhi,Sector 6 Dwarka,Semi-Furnished,28.59419632,77.06415558
Delhi,Chattarpur,Semi-Furnished,28.50035477,77.18727875
Delhi,Shastri Nagar,Furnished,28.67461967,77.18017578
Delhi,Chattarpur,Furnished,28.50035477,77.18727875
Delhi,New Friends Colony,Semi-Furnished,28.57615089,77.27926636
Delhi,Greater kailash 1,Unfurnished,28.55195999,77.23581696
Delhi,Chattarpur,Unfurnished,28.49147034,77.19029999
Delhi,Sheikh Sarai,Furnished,28.53895569,77.2000351
Delhi,Sector-18 Dwarka,Furnished,28.58725357,77.03544617
